2018-12-23__14:48 tanxiaoze-Inspiron-7559 GNU/Linux [#45-Ubuntu SMP Thu Nov 15 19:32:57 UTC 2018] [up 1 week, 5 hours, 44 minutes] [1.42,0.89,0.73] 41514M 41.3% 7843M 28.9% 27800 normal normal normal
2018-12-23__15:27 pi4 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 23 minutes] [0.35,0.67,0.75] 29941M 49.3% 927M 12.2% 47774 normal normal normal
2018-12-23__15:28 pi4 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 24 minutes] [0.80,0.77,0.79] 29941M 49.3% 927M 12.2% 49388 normal normal normal
2018-12-23__15:29 pi4 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 25 minutes] [0.75,0.76,0.78] 29941M 49.3% 927M 12.2% 47236 normal normal normal
2018-12-23__15:30 pi4 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 26 minutes] [0.82,0.76,0.78] 29941M 49.3% 927M 11.9% 47236 normal normal normal
2018-12-23__15:31 pi4 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 27 minutes] [1.00,0.78,0.78] 29941M 49.3% 927M 11.8% 48850 normal normal normal
2018-12-23__15:32 pi4 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 28 minutes] [0.62,0.72,0.76] 29941M 49.3% 927M 12.0% 48312 normal normal normal
2018-12-23__15:33 pi4 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 29 minutes] [0.63,0.71,0.76] 29941M 49.3% 927M 12.0% 47236 normal normal normal
2018-12-23__15:34 pi4 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 30 minutes] [1.05,0.80,0.78] 29941M 49.3% 927M 11.9% 48312 normal normal normal
2018-12-23__15:35 pi4 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 31 minutes] [0.71,0.74,0.76] 29941M 49.3% 927M 12.0% 47774 normal normal normal
2018-12-23__15:36 pi4 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 32 minutes] [0.79,0.75,0.76] 29941M 49.3% 927M 12.0% 47236 normal normal normal
