2018-12-20__18:27 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 24 minutes] [0.42,0.32,0.22] 29941M 75.4% 927M 8.9% 48850 normal warning normal
2018-12-20__18:29 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 25 minutes] [0.20,0.26,0.20] 29941M 75.4% 927M 8.9% 49388 normal warning normal
2018-12-20__18:30 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 27 minutes] [0.28,0.29,0.22] 29941M 75.4% 927M 8.9% 48850 normal warning normal
2018-12-20__18:31 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 28 minutes] [0.18,0.25,0.21] 29941M 75.4% 927M 8.9% 49388 normal warning normal
2018-12-20__18:32 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 29 minutes] [0.29,0.28,0.22] 29941M 75.4% 927M 8.9% 49388 normal warning normal
2018-12-20__18:33 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 30 minutes] [0.16,0.24,0.21] 29941M 75.4% 927M 9.0% 49388 normal warning normal
2018-12-20__18:34 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 31 minutes] [0.27,0.29,0.23] 29941M 75.4% 927M 9.6% 48312 normal warning normal
2018-12-20__18:52 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 49 minutes] [0.04,0.10,0.13] 29941M 75.4% 927M 10.2% 48312 normal normal normal
2018-12-20__18:53 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 50 minutes] [0.01,0.08,0.12] 29941M 75.4% 927M 10.4% 49388 normal normal normal
2018-12-20__18:54 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 51 minutes] [0.54,0.17,0.14] 29941M 75.4% 927M 10.2% 48850 normal normal normal
2018-12-20__18:55 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 52 minutes] [0.35,0.21,0.16] 29941M 75.4% 927M 10.1% 48312 normal normal normal
2018-12-20__18:56 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 53 minutes] [0.26,0.21,0.17] 29941M 75.4% 927M 10.2% 49388 normal normal normal
2018-12-20__19:17 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 10 hours, 13 minutes] [0.07,0.06,0.09] 29941M 75.4% 927M 10.2% 49388 normal normal normal
2018-12-20__20:21 pi6 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 18 minutes] [0.27,0.21,0.17] 29941M 48.2% 927M 9.4% 48312 normal warning normal
2018-12-20__20:21 pi6 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 18 minutes] [0.25,0.20,0.17] 29941M 48.2% 927M 9.3% 48850 normal warning normal
2018-12-20__20:21 pi6 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 18 minutes] [0.28,0.21,0.18] 29941M 48.2% 927M 9.3% 49388 normal warning normal
2018-12-20__20:29 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 26 minutes] [0.22,0.27,0.32] 29941M 75.4% 927M 12.1% 49388 normal normal normal
2018-12-20__20:29 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 26 minutes] [0.20,0.26,0.32] 29941M 75.4% 927M 12.0% 49388 normal normal normal
2018-12-20__20:29 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 26 minutes] [0.18,0.26,0.31] 29941M 75.4% 927M 12.1% 49388 normal normal normal
2018-12-20__20:30 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 26 minutes] [0.31,0.29,0.32] 29941M 75.4% 927M 12.2% 49925 normal normal normal
2018-12-20__20:30 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 26 minutes] [0.29,0.28,0.32] 29941M 75.4% 927M 12.0% 49925 normal normal normal
2018-12-20__20:30 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 26 minutes] [0.26,0.28,0.32] 29941M 75.4% 927M 12.0% 49388 normal normal normal
2018-12-20__20:30 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 26 minutes] [0.24,0.27,0.32] 29941M 75.4% 927M 12.1% 49388 normal normal normal
2018-12-20__20:30 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 27 minutes] [0.28,0.28,0.32] 29941M 75.4% 927M 12.1% 50464 normal normal note
2018-12-20__20:30 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 27 minutes] [0.25,0.27,0.32] 29941M 75.4% 927M 12.2% 50464 normal normal note
2018-12-20__20:30 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 27 minutes] [0.39,0.30,0.33] 29941M 75.4% 927M 12.1% 49388 normal normal normal
