2018-12-20 18:17  927M  837M  9.7%  7.0%
2018-12-20 18:17  927M  837M  9.7%  7.0%
2018-12-20 18:18  927M  837M  9.7%  7.0%
2018-12-20 18:18  927M  836M  9.8%  7.1%
2018-12-20 18:18  927M  836M  9.8%  7.1%
2018-12-20 18:18  927M  837M  9.7%  7.0%
2018-12-20 18:18  927M  836M  9.8%  7.1%
2018-12-20 18:18  927M  836M  9.8%  7.1%
2018-12-20 18:18  927M  836M  9.8%  7.1%
2018-12-20 18:18  927M  836M  9.8%  7.1%
2018-12-20 18:18  927M  836M  9.8%  7.1%
2018-12-20 18:18  927M  836M  9.8%  7.1%
2018-12-20 18:19  927M  836M  9.8%  7.1%
2018-12-20 18:19  927M  836M  9.8%  7.1%
2018-12-20 18:19  927M  836M  9.8%  7.1%
2018-12-20 18:19  927M  836M  9.8%  7.1%
2018-12-20 18:19  927M  836M  9.8%  7.1%
2018-12-20 18:19  927M  836M  9.8%  7.1%
2018-12-20 18:19  927M  837M  9.7%  7.0%
2018-12-20 18:19  927M  836M  9.8%  7.1%
2018-12-20 18:19  927M  837M  9.7%  7.0%
2018-12-20 18:19  927M  836M  9.8%  7.1%
2018-12-20 18:19  927M  836M  9.8%  7.1%
2018-12-20 18:20  927M  829M  10.5%  7.6%
2018-12-20 18:20  927M  837M  9.7%  7.0%
2018-12-20 18:20  927M  836M  9.8%  7.1%
2018-12-20 18:20  927M  837M  9.7%  7.0%
2018-12-20 18:20  927M  836M  9.8%  7.1%
2018-12-20 18:20  927M  836M  9.8%  7.1%
2018-12-20 18:20  927M  837M  9.7%  7.0%
2018-12-20 18:20  927M  836M  9.8%  7.1%
2018-12-20 18:20  927M  836M  9.8%  7.1%
2018-12-20 18:20  927M  836M  9.8%  7.1%
2018-12-20 18:21  927M  836M  9.8%  7.1%
2018-12-20 18:21  927M  836M  9.8%  7.1%
2018-12-20 18:21  927M  836M  9.8%  7.1%
2018-12-20 18:21  927M  836M  9.8%  7.1%
2018-12-20 18:21  927M  836M  9.8%  7.1%
2018-12-20 18:21  927M  836M  9.8%  7.1%
2018-12-20 18:21  927M  834M  10.0%  7.3%
2018-12-20 18:21  927M  836M  9.8%  7.1%
2018-12-20 18:21  927M  836M  9.8%  7.1%
2018-12-20 18:21  927M  836M  9.8%  7.1%
2018-12-20 18:21  927M  836M  9.8%  7.1%
2018-12-20 18:22  927M  836M  9.8%  7.1%
2018-12-20 18:22  927M  836M  9.8%  7.1%
2018-12-20 18:22  927M  836M  9.8%  7.1%
2018-12-20 18:22  927M  836M  9.8%  7.1%
2018-12-20 18:22  927M  836M  9.8%  7.1%
2018-12-20 18:22  927M  836M  9.8%  7.1%
2018-12-20 18:22  927M  836M  9.8%  7.1%
2018-12-20 18:22  927M  836M  9.8%  7.1%
2018-12-20 18:22  927M  836M  9.8%  7.1%
2018-12-20 18:22  927M  836M  9.8%  7.1%
2018-12-20 18:23  927M  841M  9.2%  6.7%
2018-12-20 18:23  927M  841M  9.2%  6.7%
2018-12-20 18:23  927M  837M  9.7%  7.0%
2018-12-20 18:23  927M  837M  9.7%  7.0%
2018-12-20 18:23  927M  837M  9.7%  7.0%
2018-12-20 18:23  927M  837M  9.7%  7.0%
2018-12-20 18:23  927M  840M  9.3%  6.8%
2018-12-20 18:23  927M  840M  9.3%  6.8%
2018-12-20 18:23  927M  840M  9.3%  6.8%
2018-12-20 18:23  927M  840M  9.3%  6.8%
2018-12-20 18:23  927M  840M  9.3%  6.8%
2018-12-20 18:24  927M  841M  9.2%  6.7%
2018-12-20 18:24  927M  841M  9.2%  6.7%
2018-12-20 18:24  927M  838M  9.6%  7.0%
2018-12-20 18:24  927M  838M  9.6%  7.0%
2018-12-20 18:24  927M  838M  9.6%  7.0%
2018-12-20 18:24  927M  837M  9.7%  7.0%
2018-12-20 18:24  927M  838M  9.6%  7.0%
2018-12-20 18:24  927M  838M  9.6%  7.0%
2018-12-20 18:24  927M  838M  9.6%  7.0%
2018-12-20 18:24  927M  838M  9.6%  7.0%
2018-12-20 18:25  927M  838M  9.6%  7.0%
2018-12-20 18:25  927M  837M  9.7%  7.0%
2018-12-20 18:25  927M  838M  9.6%  7.0%
2018-12-20 18:25  927M  838M  9.6%  7.0%
2018-12-20 18:25  927M  838M  9.6%  7.0%
2018-12-20 18:25  927M  838M  9.6%  7.0%
2018-12-20 18:25  927M  837M  9.7%  7.0%
2018-12-20 18:25  927M  836M  9.8%  7.1%
2018-12-20 18:25  927M  838M  9.6%  7.0%
2018-12-20 18:25  927M  838M  9.6%  7.0%
2018-12-20 18:25  927M  838M  9.6%  7.0%
2018-12-20 18:26  927M  838M  9.6%  7.0%
2018-12-20 18:26  927M  840M  9.3%  6.8%
2018-12-20 18:26  927M  840M  9.3%  6.8%
2018-12-20 18:26  927M  840M  9.3%  6.8%
2018-12-20 18:26  927M  844M  8.9%  6.5%
2018-12-20 18:26  927M  844M  8.9%  6.5%
2018-12-20 18:26  927M  843M  9.0%  6.6%
2018-12-20 18:26  927M  844M  8.9%  6.5%
2018-12-20 18:26  927M  844M  8.9%  6.5%
2018-12-20 18:27  927M  844M  8.9%  6.5%
2018-12-20 18:27  927M  844M  8.9%  6.5%
2018-12-20 18:27  927M  844M  8.9%  6.5%
2018-12-20 18:27  927M  844M  8.9%  6.5%
2018-12-20 18:27  927M  844M  8.9%  6.5%
2018-12-20 18:27  927M  844M  8.9%  6.5%
2018-12-20 18:27  927M  844M  8.9%  6.5%
2018-12-20 18:27  927M  844M  8.9%  6.5%
2018-12-20 18:27  927M  843M  9.0%  6.6%
2018-12-20 18:27  927M  845M  8.8%  6.4%
2018-12-20 18:27  927M  844M  8.9%  6.5%
2018-12-20 18:28  927M  844M  8.9%  6.5%
2018-12-20 18:28  927M  844M  8.9%  6.5%
2018-12-20 18:28  927M  844M  8.9%  6.5%
2018-12-20 18:28  927M  844M  8.9%  6.5%
2018-12-20 18:28  927M  844M  8.9%  6.5%
2018-12-20 18:28  927M  844M  8.9%  6.5%
2018-12-20 18:29  927M  843M  9.0%  6.6%
2018-12-20 18:29  927M  845M  8.8%  6.4%
2018-12-20 18:29  927M  844M  8.9%  6.5%
2018-12-20 18:29  927M  845M  8.8%  6.4%
2018-12-20 18:29  927M  845M  8.8%  6.4%
2018-12-20 18:29  927M  845M  8.8%  6.4%
2018-12-20 18:29  927M  845M  8.8%  6.4%
2018-12-20 18:30  927M  844M  8.9%  6.5%
2018-12-20 18:30  927M  845M  8.8%  6.4%
2018-12-20 18:30  927M  845M  8.8%  6.4%
2018-12-20 18:30  927M  845M  8.8%  6.4%
2018-12-20 18:30  927M  844M  8.9%  6.5%
2018-12-20 18:30  927M  844M  8.9%  6.5%
2018-12-20 18:30  927M  844M  8.9%  6.5%
2018-12-20 18:30  927M  844M  8.9%  6.5%
2018-12-20 18:30  927M  844M  8.9%  6.5%
2018-12-20 18:30  927M  845M  8.8%  6.4%
2018-12-20 18:31  927M  845M  8.8%  6.4%
2018-12-20 18:31  927M  845M  8.8%  6.4%
2018-12-20 18:31  927M  844M  8.9%  6.5%
2018-12-20 18:31  927M  844M  8.9%  6.5%
2018-12-20 18:31  927M  844M  8.9%  6.5%
2018-12-20 18:31  927M  844M  8.9%  6.5%
2018-12-20 18:31  927M  845M  8.8%  6.4%
2018-12-20 18:31  927M  845M  8.8%  6.4%
2018-12-20 18:31  927M  844M  8.9%  6.5%
2018-12-20 18:31  927M  844M  8.9%  6.5%
2018-12-20 18:31  927M  844M  8.9%  6.5%
2018-12-20 18:32  927M  844M  8.9%  6.5%
2018-12-20 18:32  927M  844M  8.9%  6.5%
2018-12-20 18:32  927M  844M  8.9%  6.5%
2018-12-20 18:32  927M  844M  8.9%  6.5%
2018-12-20 18:32  927M  844M  8.9%  6.5%
2018-12-20 18:32  927M  844M  8.9%  6.5%
2018-12-20 18:32  927M  844M  8.9%  6.5%
2018-12-20 18:32  927M  845M  8.8%  6.4%
2018-12-20 18:32  927M  844M  8.9%  6.5%
2018-12-20 18:32  927M  844M  8.9%  6.5%
2018-12-20 18:33  927M  844M  8.9%  6.5%
2018-12-20 18:33  927M  844M  8.9%  6.5%
2018-12-20 18:33  927M  844M  8.9%  6.5%
2018-12-20 18:33  927M  844M  8.9%  6.5%
2018-12-20 18:33  927M  844M  8.9%  6.5%
2018-12-20 18:33  927M  843M  9.0%  6.6%
2018-12-20 18:33  927M  844M  8.9%  6.5%
2018-12-20 18:33  927M  844M  8.9%  6.5%
2018-12-20 18:33  927M  844M  8.9%  6.5%
2018-12-20 18:33  927M  841M  9.2%  6.7%
2018-12-20 18:33  927M  841M  9.2%  6.7%
2018-12-20 18:34  927M  841M  9.2%  6.7%
2018-12-20 18:34  927M  838M  9.6%  7.0%
2018-12-20 18:34  927M  839M  9.4%  6.8%
2018-12-20 18:34  927M  838M  9.6%  7.0%
2018-12-20 18:34  927M  839M  9.4%  6.8%
2018-12-20 18:34  927M  838M  9.6%  7.0%
2018-12-20 18:34  927M  838M  9.6%  7.0%
2018-12-20 18:34  927M  838M  9.6%  7.0%
2018-12-20 18:34  927M  838M  9.6%  7.0%
2018-12-20 18:52  927M  832M  10.2%  7.4%
2018-12-20 18:52  927M  833M  10.1%  7.3%
2018-12-20 18:52  927M  833M  10.1%  7.3%
2018-12-20 18:52  927M  832M  10.2%  7.4%
2018-12-20 18:53  927M  833M  10.1%  7.3%
2018-12-20 18:53  927M  833M  10.1%  7.3%
2018-12-20 18:53  927M  833M  10.1%  7.3%
2018-12-20 18:53  927M  834M  10.0%  7.3%
2018-12-20 18:53  927M  833M  10.1%  7.3%
2018-12-20 18:53  927M  833M  10.1%  7.3%
2018-12-20 18:53  927M  833M  10.1%  7.3%
2018-12-20 18:53  927M  833M  10.1%  7.3%
2018-12-20 18:53  927M  833M  10.1%  7.3%
2018-12-20 18:53  927M  833M  10.1%  7.3%
2018-12-20 18:53  927M  833M  10.1%  7.3%
2018-12-20 18:54  927M  833M  10.1%  7.3%
2018-12-20 18:54  927M  833M  10.1%  7.3%
2018-12-20 18:54  927M  833M  10.1%  7.3%
2018-12-20 18:54  927M  834M  10.0%  7.3%
2018-12-20 18:54  927M  832M  10.2%  7.4%
