2018-12-23__15:39 pi9 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 36 minutes] [0.74,0.64,0.65] 29941M 47.4% 927M 13.8% 54230 normal normal note
2018-12-23__15:40 pi9 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 37 minutes] [0.45,0.57,0.62] 29941M 47.4% 927M 13.8% 56382 normal normal note
2018-12-23__15:41 pi9 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 38 minutes] [0.47,0.54,0.61] 29941M 47.4% 927M 13.8% 53692 normal normal note
2018-12-23__15:42 pi9 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 39 minutes] [0.81,0.65,0.64] 29941M 47.4% 927M 14.1% 55843 normal normal note
2018-12-23__15:43 pi9 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 40 minutes] [0.40,0.57,0.62] 29941M 47.4% 927M 13.7% 56382 normal normal note
2018-12-23__15:44 pi9 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 41 minutes] [0.29,0.52,0.60] 29941M 47.4% 927M 13.7% 53692 normal normal note
2018-12-23__15:45 pi9 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 42 minutes] [0.57,0.58,0.62] 29941M 47.4% 927M 13.7% 54768 normal normal note
2018-12-23__15:46 pi9 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 43 minutes] [0.58,0.56,0.60] 29941M 47.4% 927M 13.9% 54768 normal normal note
2018-12-23__15:47 pi9 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 44 minutes] [0.55,0.56,0.60] 29941M 47.4% 927M 13.8% 54768 normal normal note
2018-12-23__15:48 pi9 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 45 minutes] [0.92,0.68,0.64] 29941M 47.4% 927M 13.3% 53692 normal normal note
2018-12-23__15:49 pi9 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 46 minutes] [0.90,0.71,0.65] 29941M 47.4% 927M 13.4% 54768 normal normal note
2018-12-23__15:50 pi9 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 47 minutes] [0.56,0.65,0.64] 29941M 47.4% 927M 13.5% 55843 normal normal note
2018-12-23__15:51 pi9 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 48 minutes] [1.04,0.77,0.67] 29941M 47.4% 927M 13.3% 54768 normal normal note
2018-12-23__15:52 pi9 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 49 minutes] [0.63,0.70,0.66] 29941M 47.4% 927M 13.4% 55843 normal normal note
