2018-12-23__15:38 pi7 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 36 minutes] [0.30,0.47,0.58] 29941M 46.8% 927M 11.9% 54768 normal normal note
2018-12-23__15:39 pi7 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 37 minutes] [0.35,0.46,0.57] 29941M 46.8% 927M 11.9% 56920 normal normal note
2018-12-23__15:40 pi7 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 38 minutes] [0.56,0.49,0.57] 29941M 46.8% 927M 11.9% 53692 normal normal note
2018-12-23__15:41 pi7 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 39 minutes] [0.38,0.45,0.55] 29941M 46.8% 927M 12.0% 54230 normal normal note
2018-12-23__15:42 pi7 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 40 minutes] [0.41,0.45,0.54] 29941M 46.8% 927M 11.9% 54768 normal normal note
2018-12-23__15:43 pi7 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 41 minutes] [0.49,0.46,0.54] 29941M 46.8% 927M 12.0% 53692 normal normal note
2018-12-23__15:44 pi7 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 42 minutes] [0.36,0.44,0.53] 29941M 46.8% 927M 12.0% 54768 normal normal note
2018-12-23__15:45 pi7 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 43 minutes] [1.64,0.77,0.64] 29941M 46.8% 927M 12.0% 54768 normal normal note
2018-12-23__15:46 pi7 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 44 minutes] [1.73,0.88,0.68] 29941M 46.8% 927M 12.1% 55843 normal normal note
2018-12-23__15:47 pi7 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 45 minutes] [0.82,0.78,0.66] 29941M 46.8% 927M 12.0% 54768 normal normal note
2018-12-23__15:48 pi7 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 46 minutes] [0.69,0.73,0.64] 29941M 46.8% 927M 12.4% 54768 normal normal note
2018-12-23__15:49 pi7 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 47 minutes] [0.89,0.78,0.67] 29941M 46.8% 927M 12.0% 54768 normal normal note
2018-12-23__15:50 pi7 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 48 minutes] [0.52,0.70,0.64] 29941M 46.8% 927M 12.1% 55843 normal normal note
