2018-12-18__17:48 tanxiaoze-Inspiron-7559 GNU/Linux [#45-Ubuntu SMP Thu Nov 15 19:32:57 UTC 2018] [up 2 days, 8 hours, 43 minutes] [0.34,0.66,0.78] 41514M 39.9% 7843M 21.0% +54.0°C normal normal note
2018-12-18__17:52 tanxiaoze-Inspiron-7559 GNU/Linux [#45-Ubuntu SMP Thu Nov 15 19:32:57 UTC 2018] [up 2 days, 8 hours, 48 minutes] [0.22,0.44,0.65] 41514M 39.9% 7843M 21.1% +56.0°C normal normal note
2018-12-18__18:00 tanxiaoze-Inspiron-7559 GNU/Linux [#45-Ubuntu SMP Thu Nov 15 19:32:57 UTC 2018] [up 2 days, 8 hours, 56 minutes] [0.51,0.81,0.83] 41514M 39.9% 7843M 23.2% +46.0°C normal normal normal
2018-12-18__18:01 tanxiaoze-Inspiron-7559 GNU/Linux [#45-Ubuntu SMP Thu Nov 15 19:32:57 UTC 2018] [up 2 days, 8 hours, 57 minutes] [0.93,0.88,0.85] 41514M 39.9% 7843M 23.2% +61.0°C normal normal note
2018-12-18__18:01 tanxiaoze-Inspiron-7559 GNU/Linux [#45-Ubuntu SMP Thu Nov 15 19:32:57 UTC 2018] [up 2 days, 8 hours, 57 minutes] [1.03,0.91,0.86] 41514M 39.9% 7843M 23.2% +61.0°C normal normal note
2018-12-18__18:03 tanxiaoze-Inspiron-7559 GNU/Linux [#45-Ubuntu SMP Thu Nov 15 19:32:57 UTC 2018] [up 2 days, 8 hours, 59 minutes] [1.29,1.05,0.92] 41514M 39.9% 7843M 23.2% +69.0°C normal normal note
2018-12-18__18:05 tanxiaoze-Inspiron-7559 GNU/Linux [#45-Ubuntu SMP Thu Nov 15 19:32:57 UTC 2018] [up 2 days, 9 hours] [1.43,1.18,0.98] 41514M 39.9% 7843M 23.2% +71.0°C normal normal warning
2018-12-18__18:05 tanxiaoze-Inspiron-7559 GNU/Linux [#45-Ubuntu SMP Thu Nov 15 19:32:57 UTC 2018] [up 2 days, 9 hours, 1 minute] [1.59,1.24,1.01] 41514M 39.9% 7843M 23.2% +69.0°C normal normal note
2018-12-18__18:07 tanxiaoze-Inspiron-7559 GNU/Linux [#45-Ubuntu SMP Thu Nov 15 19:32:57 UTC 2018] [up 2 days, 9 hours, 2 minutes] [1.20,1.20,1.01] 41514M 39.9% 7843M 23.2% +69.0°C normal normal note
2018-12-18__18:09 tanxiaoze-Inspiron-7559 GNU/Linux [#45-Ubuntu SMP Thu Nov 15 19:32:57 UTC 2018] [up 2 days, 9 hours, 5 minutes] [1.81,1.49,1.15] 41514M 40.0% M % +64.0°C normal normal note
2018-12-18__18:10 tanxiaoze-Inspiron-7559 GNU/Linux [#45-Ubuntu SMP Thu Nov 15 19:32:57 UTC 2018] [up 2 days, 9 hours, 6 minutes] [1.30,1.40,1.14] 41514M 40.0% 7843M 23.7% +64.0°C normal normal note
2018-12-18__18:11 tanxiaoze-Inspiron-7559 GNU/Linux [#45-Ubuntu SMP Thu Nov 15 19:32:57 UTC 2018] [up 2 days, 9 hours, 7 minutes] [1.62,1.45,1.18] 41514M 40.0% 7843M 23.7% +49.0°C normal normal normal
2018-12-18__18:12 tanxiaoze-Inspiron-7559 GNU/Linux [#45-Ubuntu SMP Thu Nov 15 19:32:57 UTC 2018] [up 2 days, 9 hours, 8 minutes] [0.82,1.27,1.13] 41514M 40.0% 7843M 23.6% +46.0°C normal normal normal
2018-12-18__18:16 tanxiaoze-Inspiron-7559 GNU/Linux [#45-Ubuntu SMP Thu Nov 15 19:32:57 UTC 2018] [up 2 days, 9 hours, 12 minutes] [0.28,0.80,0.97] 41514M 40.0% 7843M 23.8% +43.0°C normal normal normal
2018-12-18__18:17 tanxiaoze-Inspiron-7559 GNU/Linux [#45-Ubuntu SMP Thu Nov 15 19:32:57 UTC 2018] [up 2 days, 9 hours, 13 minutes] [0.24,0.70,0.92] 41514M 40.0% 7843M 23.8% +42.0°C normal normal normal
2018-12-18__18:18 tanxiaoze-Inspiron-7559 GNU/Linux [#45-Ubuntu SMP Thu Nov 15 19:32:57 UTC 2018] [up 2 days, 9 hours, 14 minutes] [1.20,0.93,0.99] 41514M 40.0% 7843M 23.8% +59.0°C normal normal note
2018-12-18__18:19 tanxiaoze-Inspiron-7559 GNU/Linux [#45-Ubuntu SMP Thu Nov 15 19:32:57 UTC 2018] [up 2 days, 9 hours, 15 minutes] [1.13,0.96,1.00] 41514M 40.0% 7843M 23.8% +60.0°C normal normal note
