2018-12-23__09:14 tanxiaoze-Inspiron-7559 GNU/Linux [#45-Ubuntu SMP Thu Nov 15 19:32:57 UTC 2018] [up 1 week, 9 minutes] [0.17,0.49,0.53] 41514M 40.9% 7843M 24.0% 27800 normal normal normal
2018-12-23__15:11 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 8 minutes] [0.30,0.37,0.33] 29941M 47.9% 927M 13.4% 47236 normal normal normal
2018-12-23__15:12 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 9 minutes] [0.89,0.51,0.39] 29941M 47.9% 927M 13.4% 47236 normal normal normal
2018-12-23__15:13 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 10 minutes] [0.76,0.57,0.42] 29941M 47.9% 927M 13.4% 47236 normal normal normal
2018-12-23__15:14 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 11 minutes] [0.45,0.52,0.41] 29941M 47.9% 927M 13.5% 47236 normal normal normal
2018-12-23__15:16 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 12 minutes] [0.65,0.57,0.43] 29941M 47.9% 927M 13.3% 46698 normal normal normal
2018-12-23__15:17 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 13 minutes] [0.35,0.49,0.41] 29941M 47.9% 927M 13.2% 46698 normal normal normal
2018-12-23__15:18 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 14 minutes] [0.54,0.53,0.43] 29941M 47.9% 927M 13.3% 47236 normal normal normal
2018-12-23__15:19 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 15 minutes] [0.94,0.64,0.48] 29941M 47.9% 927M 13.5% 46698 normal normal normal
2018-12-23__15:20 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 16 minutes] [0.54,0.58,0.46] 29941M 47.9% 927M 13.4% 46160 normal normal normal
2018-12-23__15:21 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 17 minutes] [0.24,0.49,0.44] 29941M 47.9% 927M 13.5% 46698 normal normal normal
2018-12-23__15:22 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 18 minutes] [0.67,0.56,0.46] 29941M 47.9% 927M 13.7% 46698 normal normal normal
2018-12-23__15:23 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 19 minutes] [0.49,0.52,0.45] 29941M 47.9% 927M 13.7% 46698 normal normal normal
2018-12-23__15:24 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 20 minutes] [0.29,0.46,0.44] 29941M 47.9% 927M 13.9% 47236 normal normal normal
2018-12-23__15:25 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 21 minutes] [0.43,0.48,0.45] 29941M 47.9% 927M 13.8% 46698 normal normal normal
2018-12-23__15:26 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 22 minutes] [0.37,0.45,0.44] 29941M 47.9% 927M 12.0% 46160 normal normal normal
2018-12-23__15:27 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 23 minutes] [0.27,0.40,0.42] 29941M 47.9% 927M 12.0% 45622 normal normal normal
2018-12-23__15:28 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 24 minutes] [0.13,0.34,0.40] 29941M 47.9% 927M 12.0% 45084 normal normal normal
2018-12-23__15:29 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 26 minutes] [0.15,0.30,0.38] 29941M 47.9% 927M 12.0% 46698 normal normal normal
2018-12-23__15:30 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 27 minutes] [0.38,0.35,0.39] 29941M 47.9% 927M 11.7% 46160 normal normal normal
2018-12-23__15:31 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 28 minutes] [0.22,0.30,0.37] 29941M 47.9% 927M 11.7% 45622 normal normal normal
2018-12-23__15:32 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 29 minutes] [0.17,0.27,0.35] 29941M 47.9% 927M 11.6% 45622 normal normal normal
2018-12-23__15:33 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 30 minutes] [0.23,0.27,0.35] 29941M 47.9% 927M 11.7% 46160 normal normal normal
2018-12-23__15:34 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 31 minutes] [0.22,0.26,0.34] 29941M 47.9% 927M 11.7% 45622 normal normal normal
2018-12-23__15:35 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 32 minutes] [0.13,0.23,0.33] 29941M 47.9% 927M 11.7% 45622 normal normal normal
2018-12-23__15:36 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 33 minutes] [0.29,0.29,0.34] 29941M 47.9% 927M 11.7% 45084 normal normal normal
2018-12-23__15:37 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 34 minutes] [0.14,0.25,0.32] 29941M 47.9% 927M 11.7% 45622 normal normal normal
2018-12-23__15:38 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 35 minutes] [0.77,0.36,0.36] 29941M 47.9% 927M 11.7% 45084 normal normal normal
2018-12-23__15:39 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 36 minutes] [0.36,0.31,0.34] 29941M 47.9% 927M 11.7% 45622 normal normal normal
2018-12-23__15:40 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 37 minutes] [0.31,0.31,0.34] 29941M 47.9% 927M 11.8% 46160 normal normal normal
2018-12-23__15:41 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 38 minutes] [0.45,0.34,0.35] 29941M 47.9% 927M 11.9% 45084 normal normal normal
2018-12-23__15:42 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 39 minutes] [0.21,0.29,0.33] 29941M 47.9% 927M 11.8% 45084 normal normal normal
2018-12-23__15:43 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 40 minutes] [0.18,0.28,0.32] 29941M 47.9% 927M 11.8% 45084 normal normal normal
2018-12-23__15:44 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 41 minutes] [0.36,0.33,0.34] 29941M 47.9% 927M 11.8% 45084 normal normal normal
2018-12-23__15:45 pi8 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 42 minutes] [0.35,0.32,0.33] 29941M 47.9% 927M 11.8% 46160 normal normal normal
