2018-12-23 09:14  7843M  5959M  24.0%  17.1%
2018-12-23 15:11  927M  802M  13.4%  9.6%
2018-12-23 15:12  927M  803M  13.3%  9.6%
2018-12-23 15:12  927M  803M  13.3%  9.6%
2018-12-23 15:12  927M  803M  13.3%  9.6%
2018-12-23 15:12  927M  803M  13.3%  9.6%
2018-12-23 15:12  927M  803M  13.3%  9.6%
2018-12-23 15:12  927M  803M  13.3%  9.6%
2018-12-23 15:12  927M  803M  13.3%  9.6%
2018-12-23 15:12  927M  803M  13.3%  9.6%
2018-12-23 15:12  927M  803M  13.3%  9.6%
2018-12-23 15:12  927M  803M  13.3%  9.6%
2018-12-23 15:12  927M  803M  13.3%  9.6%
2018-12-23 15:13  927M  803M  13.3%  9.6%
2018-12-23 15:13  927M  802M  13.4%  9.6%
2018-12-23 15:13  927M  803M  13.3%  9.6%
2018-12-23 15:13  927M  802M  13.4%  9.6%
2018-12-23 15:13  927M  802M  13.4%  9.6%
2018-12-23 15:13  927M  801M  13.5%  9.7%
2018-12-23 15:13  927M  800M  13.7%  9.8%
2018-12-23 15:13  927M  800M  13.7%  9.8%
2018-12-23 15:13  927M  800M  13.7%  9.8%
2018-12-23 15:13  927M  796M  14.1%  10.1%
2018-12-23 15:14  927M  802M  13.4%  9.6%
2018-12-23 15:14  927M  802M  13.4%  9.6%
2018-12-23 15:14  927M  802M  13.4%  9.6%
2018-12-23 15:14  927M  803M  13.3%  9.6%
2018-12-23 15:14  927M  803M  13.3%  9.6%
2018-12-23 15:14  927M  803M  13.3%  9.6%
2018-12-23 15:14  927M  802M  13.4%  9.6%
2018-12-23 15:14  927M  803M  13.3%  9.6%
2018-12-23 15:14  927M  803M  13.3%  9.6%
2018-12-23 15:14  927M  803M  13.3%  9.6%
2018-12-23 15:14  927M  802M  13.4%  9.6%
2018-12-23 15:15  927M  805M  13.1%  9.4%
2018-12-23 15:15  927M  804M  13.2%  9.5%
2018-12-23 15:15  927M  805M  13.1%  9.4%
2018-12-23 15:15  927M  805M  13.1%  9.4%
2018-12-23 15:15  927M  805M  13.1%  9.4%
2018-12-23 15:15  927M  804M  13.2%  9.5%
2018-12-23 15:15  927M  805M  13.1%  9.4%
2018-12-23 15:15  927M  805M  13.1%  9.4%
2018-12-23 15:15  927M  805M  13.1%  9.4%
2018-12-23 15:15  927M  803M  13.3%  9.6%
2018-12-23 15:16  927M  803M  13.3%  9.6%
2018-12-23 15:16  927M  804M  13.2%  9.5%
2018-12-23 15:16  927M  804M  13.2%  9.5%
2018-12-23 15:16  927M  805M  13.1%  9.4%
2018-12-23 15:16  927M  804M  13.2%  9.5%
2018-12-23 15:16  927M  804M  13.2%  9.5%
2018-12-23 15:16  927M  805M  13.1%  9.4%
2018-12-23 15:16  927M  804M  13.2%  9.5%
2018-12-23 15:16  927M  805M  13.1%  9.4%
2018-12-23 15:16  927M  804M  13.2%  9.5%
2018-12-23 15:16  927M  805M  13.1%  9.4%
2018-12-23 15:17  927M  804M  13.2%  9.5%
2018-12-23 15:17  927M  804M  13.2%  9.5%
2018-12-23 15:17  927M  804M  13.2%  9.5%
2018-12-23 15:17  927M  804M  13.2%  9.5%
2018-12-23 15:17  927M  803M  13.3%  9.6%
2018-12-23 15:17  927M  804M  13.2%  9.5%
2018-12-23 15:17  927M  804M  13.2%  9.5%
2018-12-23 15:17  927M  802M  13.4%  9.6%
2018-12-23 15:17  927M  803M  13.3%  9.6%
2018-12-23 15:17  927M  803M  13.3%  9.6%
