2018-12-23__15:09 pi6 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 6 minutes] [1.23,1.83,1.62] 29941M 48.2% 927M 12.7% 54768 normal normal note
2018-12-23__15:10 pi6 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 7 minutes] [1.17,1.73,1.60] 29941M 48.2% 927M 12.7% 52615 normal normal note
2018-12-23__15:11 pi6 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 8 minutes] [0.79,1.52,1.54] 29941M 48.2% 927M 12.7% 55306 normal normal note
2018-12-23__15:12 pi6 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 9 minutes] [0.82,1.42,1.50] 29941M 48.2% 927M 12.8% 55843 normal normal note
2018-12-23__15:14 pi6 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 10 minutes] [0.92,1.36,1.48] 29941M 48.2% 927M 12.9% 53692 normal normal note
2018-12-23__15:15 pi6 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 11 minutes] [1.29,1.36,1.47] 29941M 48.2% 927M 12.7% 53154 normal normal note
2018-12-23__15:16 pi6 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 12 minutes] [1.12,1.33,1.45] 29941M 48.2% 927M 12.7% 53154 normal normal note
2018-12-23__15:17 pi6 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 13 minutes] [0.92,1.25,1.42] 29941M 48.2% 927M 12.8% 53692 normal normal note
2018-12-23__15:18 pi6 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 14 minutes] [1.22,1.28,1.42] 29941M 48.2% 927M 12.8% 54768 normal normal note
2018-12-23__15:19 pi6 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 15 minutes] [0.93,1.18,1.37] 29941M 48.2% 927M 13.0% 56920 normal normal note
2018-12-23__15:20 pi6 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 3 weeks, 1 day, 6 hours, 16 minutes] [0.94,1.12,1.34] 29941M 48.2% 927M 13.3% 56382 normal normal note
