2018-12-20__20:29 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 25 minutes] [0.57,0.34,0.29] 29941M 52.3% 927M 16.5% 44007 normal normal normal
2018-12-20__20:29 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 26 minutes] [0.52,0.33,0.29] 29941M 52.3% 927M 16.5% 44007 normal normal normal
2018-12-20__20:29 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 26 minutes] [0.52,0.34,0.29] 29941M 52.3% 927M 16.6% 42932 normal normal normal
2018-12-20__20:29 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 26 minutes] [0.48,0.33,0.29] 29941M 52.3% 927M 16.7% 42932 normal normal normal
2018-12-20__20:29 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 26 minutes] [0.44,0.33,0.29] 29941M 52.3% 927M 16.6% 44007 normal normal normal
2018-12-20__20:29 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 26 minutes] [0.40,0.32,0.28] 29941M 52.3% 927M 16.6% 43470 normal normal normal
2018-12-20__20:29 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 26 minutes] [0.41,0.33,0.29] 29941M 52.3% 927M 16.6% 44007 normal normal normal
2018-12-20__20:29 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 26 minutes] [0.38,0.32,0.28] 29941M 52.3% 927M 16.6% 43470 normal normal normal
2018-12-20__20:30 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 26 minutes] [0.35,0.32,0.28] 29941M 52.3% 927M 16.6% 43470 normal normal normal
2018-12-20__20:30 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 26 minutes] [0.32,0.31,0.28] 29941M 52.3% 927M 16.6% 43470 normal normal normal
2018-12-20__20:30 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 26 minutes] [0.35,0.32,0.28] 29941M 52.3% 927M 16.6% 43470 normal normal normal
2018-12-20__20:30 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 27 minutes] [0.32,0.31,0.28] 29941M 52.3% 927M 16.6% 43470 normal normal normal
2018-12-20__20:30 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 27 minutes] [0.29,0.31,0.28] 29941M 52.3% 927M 16.7% 42932 normal normal normal
2018-12-20__20:30 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 27 minutes] [0.27,0.30,0.28] 29941M 52.3% 927M 16.6% 42932 normal normal normal
2018-12-20__20:30 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 27 minutes] [0.62,0.37,0.30] 29941M 52.3% 927M 16.7% 44007 normal normal normal
2018-12-20__20:30 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 27 minutes] [0.57,0.37,0.30] 29941M 52.3% 927M 16.6% 44546 normal normal normal
2018-12-20__20:30 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 27 minutes] [0.53,0.36,0.30] 29941M 52.3% 927M 16.7% 44007 normal normal normal
2018-12-20__20:30 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 27 minutes] [0.48,0.36,0.29] 29941M 52.3% 927M 16.7% 44546 normal normal normal
2018-12-20__20:31 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 27 minutes] [0.52,0.37,0.30] 29941M 52.3% 927M 16.0% 43470 normal normal normal
2018-12-20__20:31 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 27 minutes] [0.60,0.39,0.31] 29941M 52.3% 927M 16.5% 45622 normal normal normal
2018-12-20__20:31 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.71,0.41,0.32] 29941M 52.3% 927M 16.7% 44546 normal normal normal
2018-12-20__20:31 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.65,0.41,0.31] 29941M 52.3% 927M 16.6% 44007 normal normal normal
2018-12-20__20:31 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.76,0.43,0.32] 29941M 52.3% 927M 16.1% 44546 normal normal normal
2018-12-20__20:31 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.72,0.44,0.33] 29941M 52.3% 927M 16.5% 45084 normal normal normal
2018-12-20__20:31 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.66,0.43,0.32] 29941M 52.3% 927M 16.6% 45084 normal normal normal
2018-12-20__20:31 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.61,0.42,0.32] 29941M 52.3% 927M 16.2% 45622 normal normal normal
2018-12-20__20:31 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.56,0.41,0.32] 29941M 52.3% 927M 16.1% 45084 normal normal normal
2018-12-20__20:32 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.51,0.41,0.32] 29941M 52.3% 927M 16.1% 45084 normal normal normal
2018-12-20__20:32 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.51,0.41,0.32] 29941M 52.3% 927M 16.2% 46160 normal normal normal
2018-12-20__20:32 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.47,0.40,0.32] 29941M 52.3% 927M 16.0% 44546 normal normal normal
2018-12-20__20:32 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 29 minutes] [0.43,0.40,0.32] 29941M 52.3% 927M 16.0% 44546 normal normal normal
2018-12-20__20:32 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 29 minutes] [0.39,0.39,0.31] 29941M 52.3% 927M 16.1% 44007 normal normal normal
2018-12-20__20:32 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 29 minutes] [0.56,0.43,0.33] 29941M 52.3% 927M 16.0% 44546 normal normal normal
2018-12-20__20:32 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 29 minutes] [0.51,0.42,0.32] 29941M 52.3% 927M 16.1% 45084 normal normal normal
2018-12-20__20:32 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 29 minutes] [0.79,0.48,0.34] 29941M 52.3% 927M 16.1% 44546 normal normal normal
2018-12-20__20:32 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 29 minutes] [0.74,0.48,0.35] 29941M 52.3% 927M 16.2% 45084 normal normal normal
2018-12-20__20:32 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 29 minutes] [0.68,0.47,0.34] 29941M 52.3% 927M 16.1% 45084 normal normal normal
2018-12-20__20:33 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 29 minutes] [0.71,0.48,0.35] 29941M 52.3% 927M 16.2% 45084 normal normal normal
2018-12-20__20:33 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 29 minutes] [0.81,0.50,0.36] 29941M 52.3% 927M 16.1% 44007 normal normal normal
2018-12-20__20:33 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 30 minutes] [0.76,0.50,0.36] 29941M 52.3% 927M 16.1% 44546 normal normal normal
2018-12-20__20:33 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 30 minutes] [0.78,0.51,0.36] 29941M 52.3% 927M 16.1% 44546 normal normal normal
2018-12-20__20:33 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 30 minutes] [0.80,0.52,0.37] 29941M 52.3% 927M 16.1% 44546 normal normal normal
2018-12-20__20:33 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 30 minutes] [0.81,0.53,0.37] 29941M 52.3% 927M 16.2% 45084 normal normal normal
2018-12-20__20:33 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 30 minutes] [0.92,0.56,0.38] 29941M 52.3% 927M 16.2% 45084 normal normal normal
2018-12-20__20:33 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 30 minutes] [0.93,0.57,0.39] 29941M 52.3% 927M 16.2% 44007 normal normal normal
2018-12-20__20:33 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 30 minutes] [0.86,0.56,0.38] 29941M 52.3% 927M 16.1% 45084 normal normal normal
2018-12-20__20:34 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 30 minutes] [1.19,0.63,0.41] 29941M 52.3% 927M 16.1% 45622 normal normal normal
2018-12-20__20:34 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 30 minutes] [1.08,0.63,0.41] 29941M 52.3% 927M 16.1% 44546 normal normal normal
2018-12-20__20:34 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 30 minutes] [0.99,0.62,0.41] 29941M 52.3% 927M 16.3% 46160 normal normal normal
2018-12-20__20:34 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 31 minutes] [0.91,0.61,0.40] 29941M 52.3% 927M 16.1% 45084 normal normal normal
2018-12-20__20:34 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 31 minutes] [0.84,0.60,0.40] 29941M 52.3% 927M 16.1% 44546 normal normal normal
2018-12-20__20:34 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 31 minutes] [1.03,0.64,0.42] 29941M 52.3% 927M 16.1% 45084 normal normal normal
2018-12-20__20:34 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 31 minutes] [0.95,0.63,0.42] 29941M 52.3% 927M 16.1% 45084 normal normal normal
2018-12-20__20:34 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 31 minutes] [0.87,0.62,0.41] 29941M 52.3% 927M 16.2% 45084 normal normal normal
