2018-12-20__18:53 pi3 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 50 minutes] [0.08,0.04,0.01] 29941M 48.4% 927M 8.1% 38628 normal warning normal
2018-12-20__18:54 pi3 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 51 minutes] [0.16,0.06,0.02] 29941M 48.4% 927M 8.0% 38089 normal warning normal
2018-12-20__18:55 pi3 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 9 hours, 52 minutes] [0.06,0.05,0.01] 29941M 48.4% 927M 8.0% 38628 normal warning normal
2018-12-20__19:17 pi3 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 10 hours, 14 minutes] [0.07,0.02,0.00] 29941M 48.4% 927M 8.1% 39166 normal warning normal
2018-12-20__20:21 pi6 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 18 minutes] [0.27,0.21,0.17] 29941M 48.2% 927M 9.4% 48312 normal warning normal
2018-12-20__20:21 pi6 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 18 minutes] [0.25,0.20,0.17] 29941M 48.2% 927M 9.3% 48850 normal warning normal
2018-12-20__20:21 pi6 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 18 minutes] [0.28,0.21,0.18] 29941M 48.2% 927M 9.3% 49388 normal warning normal
2018-12-20__20:30 pi3 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 27 minutes] [0.12,0.17,0.16] 29941M 48.4% 927M 9.7% 39166 normal warning normal
2018-12-20__20:30 pi3 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 27 minutes] [0.11,0.17,0.16] 29941M 48.4% 927M 9.7% 39704 normal warning normal
2018-12-20__20:30 pi3 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 27 minutes] [0.32,0.22,0.18] 29941M 48.4% 927M 9.7% 39704 normal warning normal
2018-12-20__20:31 pi3 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 27 minutes] [0.30,0.21,0.18] 29941M 48.4% 927M 9.6% 39704 normal warning normal
2018-12-20__20:31 pi3 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 27 minutes] [0.27,0.21,0.18] 29941M 48.4% 927M 9.7% 39166 normal warning normal
2018-12-20__20:31 pi3 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.25,0.20,0.18] 29941M 48.4% 927M 9.8% 40242 normal warning normal
2018-12-20__20:31 pi3 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.23,0.20,0.17] 29941M 48.4% 927M 9.7% 39704 normal warning normal
2018-12-20__20:31 pi3 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.27,0.21,0.18] 29941M 48.4% 927M 9.7% 39704 normal warning normal
2018-12-20__20:31 pi3 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.25,0.21,0.18] 29941M 48.4% 927M 9.7% 40242 normal warning normal
2018-12-20__20:31 pi3 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.23,0.20,0.18] 29941M 48.4% 927M 9.7% 39704 normal warning normal
2018-12-20__20:31 pi3 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.37,0.23,0.19] 29941M 48.4% 927M 9.7% 39704 normal warning normal
2018-12-20__20:31 pi3 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.34,0.23,0.18] 29941M 48.4% 927M 9.8% 40242 normal warning normal
2018-12-20__20:31 pi3 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.36,0.24,0.19] 29941M 48.4% 927M 9.7% 40780 normal warning normal
2018-12-20__20:32 pi3 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.33,0.23,0.19] 29941M 48.4% 927M 9.7% 40780 normal warning normal
2018-12-20__20:32 pi3 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 28 minutes] [0.31,0.23,0.18] 29941M 48.4% 927M 9.7% 40242 normal warning normal
